development_selection_order,ticker,name,market,selection_sector,market_cap_bucket,selection_stratum,within_stratum_rank,listing_date,listing_age_bucket,industry,source_development_selection_order,spent_stock_quarantine,oos_a_frozen,future_outcomes_opened
59,000680,LS네트웍스,KOSPI,CONSUMER_FOOD_RETAIL,CAP_MID,KOSPI|CONSUMER_FOOD_RETAIL|CAP_MID,2,1973-11-15,AGE_GE10Y,상품 종합 도매업,158,False,True,False
60,000890,보해양조,KOSPI,CONSUMER_FOOD_RETAIL,CAP_SMALL,KOSPI|CONSUMER_FOOD_RETAIL|CAP_SMALL,2,1988-09-23,AGE_GE10Y,알코올음료 제조업,159,False,True,False
61,005090,SGC에너지,KOSPI,ENERGY_UTILITIES,CAP_LARGE,KOSPI|ENERGY_UTILITIES|CAP_LARGE,2,1993-01-06,AGE_GE10Y,전기업,160,False,True,False
62,003480,한진중공업홀딩스,KOSPI,ENERGY_UTILITIES,CAP_MID,KOSPI|ENERGY_UTILITIES|CAP_MID,2,1956-03-03,AGE_GE10Y,연료용 가스 제조 및 배관공급업,161,False,True,False
63,000370,한화손해보험,KOSPI,FINANCE,CAP_LARGE,KOSPI|FINANCE|CAP_LARGE,2,1975-06-30,AGE_GE10Y,보험업,162,False,True,False
64,000140,하이트진로홀딩스,KOSPI,FINANCE,CAP_MID,KOSPI|FINANCE|CAP_MID,2,1973-09-19,AGE_GE10Y,기타 금융업,163,False,True,False
65,005740,크라운해태홀딩스,KOSPI,FINANCE,CAP_SMALL,KOSPI|FINANCE|CAP_SMALL,2,1976-06-30,AGE_GE10Y,기타 금융업,164,False,True,False
66,018880,한온시스템,KOSPI,INDUSTRIAL_MACHINERY,CAP_LARGE,KOSPI|INDUSTRIAL_MACHINERY|CAP_LARGE,2,1996-07-31,AGE_GE10Y,일반 목적용 기계 제조업,165,False,True,False
67,002900,TYM,KOSPI,INDUSTRIAL_MACHINERY,CAP_MID,KOSPI|INDUSTRIAL_MACHINERY|CAP_MID,2,1973-06-26,AGE_GE10Y,특수 목적용 기계 제조업,166,False,True,False
68,009310,참엔지니어링,KOSPI,INDUSTRIAL_MACHINERY,CAP_SMALL,KOSPI|INDUSTRIAL_MACHINERY|CAP_SMALL,2,1987-11-12,AGE_GE10Y,특수 목적용 기계 제조업,167,False,True,False
69,034230,파라다이스,KOSPI,LEISURE_HOSPITALITY,CAP_LARGE,KOSPI|LEISURE_HOSPITALITY|CAP_LARGE,2,2024-06-24,AGE_LT3Y,유원지 및 기타 오락관련 서비스업,168,False,True,False
70,070960,모나용평,KOSPI,LEISURE_HOSPITALITY,CAP_SMALL,KOSPI|LEISURE_HOSPITALITY|CAP_SMALL,2,2016-05-27,AGE_GE10Y,일반 및 생활 숙박시설 운영업,169,False,True,False
71,079160,CJ CGV,KOSPI,MEDIA_ENTERTAINMENT,CAP_LARGE,KOSPI|MEDIA_ENTERTAINMENT|CAP_LARGE,2,2004-12-24,AGE_GE10Y,"영화, 비디오물, 방송프로그램 제작 및 배급업",170,False,True,False
72,037560,LG헬로비전,KOSPI,MEDIA_ENTERTAINMENT,CAP_MID,KOSPI|MEDIA_ENTERTAINMENT|CAP_MID,2,2012-11-09,AGE_GE10Y,텔레비전 방송업,171,False,True,False
73,008700,아남전자,KOSPI,MEDIA_ENTERTAINMENT,CAP_SMALL,KOSPI|MEDIA_ENTERTAINMENT|CAP_SMALL,2,1984-08-11,AGE_GE10Y,영상 및 음향기기 제조업,172,False,True,False
74,001430,세아베스틸지주,KOSPI,METALS,CAP_LARGE,KOSPI|METALS|CAP_LARGE,2,1991-03-12,AGE_GE10Y,1차 철강 제조업,173,False,True,False
75,001080,만호제강,KOSPI,METALS,CAP_MID,KOSPI|METALS|CAP_MID,2,1977-06-18,AGE_GE10Y,1차 철강 제조업,174,False,True,False
76,002220,한일철강,KOSPI,METALS,CAP_SMALL,KOSPI|METALS|CAP_SMALL,2,1988-10-07,AGE_GE10Y,1차 철강 제조업,175,False,True,False
77,001120,LX인터내셔널,KOSPI,OTHER_UNKNOWN,CAP_LARGE,KOSPI|OTHER_UNKNOWN|CAP_LARGE,2,1976-01-30,AGE_GE10Y,상품 중개업,176,False,True,False
